unique_id,temperature,rep,version,lower,upper,mean
16_1,16,1,1,17158.327600303182,19396.716778614886,18250.575344563073
16_1,16,1,2,17165.305329643823,19310.656035432417,18222.387071937927
16_2,16,2,1,15292.33437649452,17765.799034978107,16555.615404569064
16_2,16,2,2,15322.86829385184,17962.59731909732,16608.51311587178
16_3,16,3,1,16006.299642655536,18401.52245644794,17216.971761665947
16_3,16,3,2,16162.707679933015,18393.25481131916,17238.09731297201
16_4,16,4,1,17441.658885839595,19427.35745783652,18421.19725980676
16_4,16,4,2,17443.45971179737,19486.96154098383,18472.19730511561
16_5,16,5,1,16921.40620670111,18443.617366680475,17665.294371993157
16_5,16,5,2,16945.119771237805,18406.43895283628,17670.54695715385
25_1,25,1,1,9739.0597074864,13637.532225400766,12036.965365580969
25_1,25,1,2,9796.246441615564,13752.033901623017,12134.983976631343
25_2,25,2,1,9022.333778990173,13813.823421146944,11888.390948622566
25_2,25,2,2,8967.851598880658,13997.726885016484,12014.829356641842
25_3,25,3,1,8553.41469136357,12737.835722239506,10645.674151436435
25_3,25,3,2,8553.15988445212,12768.98811007988,10663.627086850393
25_4,25,4,1,12459.56693374991,13667.771359721513,13084.860010303028
25_4,25,4,2,12506.097693531636,13662.3153230355,13100.252622089445
25_5,25,5,1,10014.46042978285,12847.975364814316,11412.68303522189
25_5,25,5,2,10085.682369891369,12909.368054665332,11458.3231306001
32_1,32,1,2,2503.0196636193295,8706.00583959561,4217.228072313779
32_1,32,1,2,2937.6776919694344,1e4,4387.236425302351
32_2,32,2,2,3028.774620255714,1e4,7171.654196372469
32_3,32,3,2,3683.1209724561677,6898.864006501863,4776.842898937768
32_3,32,3,2,4094.2450748093033,9167.58693165266,5370.372844529823
32_4,32,4,2,3701.4432558788003,5728.6051781656715,4512.444151814723
32_4,32,4,2,4717.663147778373,1e4,7057.805779446485
32_5,32,5,2,3136.5204544699573,9211.279871317325,5112.690999488801
32_5,32,5,2,3824.921203873416,1e4,5973.4216420190205
5_1,5,1,1,18466.382913115416,23024.84992336889,20438.295420729657
5_1,5,1,2,18683.72719870302,24763.071230914848,20861.59007416203
5_2,5,2,1,17891.42437050821,26603.714798907193,21337.34724114433
5_2,5,2,2,18618.26833356019,30481.173263985685,22665.823788074988
5_3,5,3,1,21429.145302875382,26656.2985437101,23407.235334999594
5_3,5,3,2,21614.486791011095,26742.12257525666,23723.657428276743
5_4,5,4,1,21713.680821020735,32114.58126422405,25463.7717984879
5_4,5,4,2,21794.544129226062,32659.28601976219,25663.816828763902
5_5,5,5,1,18296.742341081015,23177.763969291685,20514.438530480882
5_5,5,5,2,18248.158395437553,23466.953958737013,20623.206243425917
8_1,8,1,1,19403.594266781733,20507.336589142753,19847.373485176115
8_1,8,1,2,19440.16973450894,20526.290291630008,19873.368199219538
8_2,8,2,1,20963.72437897387,24472.557917747396,22686.279264208075
8_2,8,2,2,20893.341010460612,24544.10865918084,22659.468331268137
8_3,8,3,1,16859.457098897175,26248.725612649527,20316.16491280253
8_3,8,3,2,16918.881149089328,25108.444588625494,20191.721122248877
8_4,8,4,1,18477.903672232223,21153.65778620973,19652.683846270935
8_4,8,4,2,18532.32970027505,21149.04362641844,19686.609936930974
8_5,8,5,1,18669.31971015801,20861.042396523364,19790.641181313247
8_5,8,5,2,18685.87540171143,20939.661691382327,19822.995929151773
