ID,r,K
16_1,0.33801132833976943,19350013.505521458
16_2,0.2994415483609273,18433402.75225744
16_3,0.3779569768208045,17393812.21657757
16_4,0.3812880529476849,17078185.94335973
16_5,0.3805269023309035,16004905.295751065
25_1,0.21859354620512486,9494446.827360854
25_2,0.13188819326402984,11217407.934138555
25_3,0.18940846169323916,10178263.710551428
25_4,0.21332072348297668,11010107.809014598
25_5,0.34677994537885615,9573008.765644444
32_1,0.11922445824416586,5623126.521822325
32_2,0.1273583799019464,6571736.374669259
32_3,0.3995853625409079,5823020.5377083905
32_4,0.35106351787983747,5427697.801525098
32_5,0.16689805837153773,4907997.427164399
38_1,0.09599733424265293,3032056.0839196136
38_2,0.029865118818339198,96502304.44444609
38_3,0.10045856295985209,4786017.335574209
38_4,0.5514148461411161,2859851.4599553472
38_5,0.5655843015533033,2387641.9768515346
5_1,1.525882601663158,16160575.815047495
5_2,0.11932196259032392,29379911.541946273
5_3,0.11835600455950025,26602574.816454496
5_4,0.13708218386937326,29371156.849557634
5_5,0.13720202601533046,24312068.60218352
8_1,0.18333567569753126,21763817.495664064
8_2,0.21299036816929737,22821487.56385725
8_3,0.15106920599153872,24549448.25118292
8_4,0.17576964808766035,21450250.96986903
8_5,0.22331243943809556,19683561.67988161
