List File,O8SO3.lst
Start Time,2016-12-05  12:37:53
Sampling Time,34 sec

Count,56
Particles / ml,3756

Efficiency,8.6%
PPUI,1.08

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),63.64,19.60,226.27,40.51,63.65
Aspect Ratio,0.79,0.11,0.99,0.19,23.51
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.68,0.00,0.83,0.19,27.64
Circularity (Hu),0.86,0.15,0.97,0.18,20.83
Compactness,2.33,1.14,10.59,1.65,71.00
Diameter (ABD),8.62,5.00,16.97,2.60,30.20
Diameter (ESD),11.22,6.31,44.67,6.24,55.64
Elongation,4.96,1.00,31.24,5.33,107.34
Geodesic Aspect Ratio,0.35,0.03,1.00,0.23,63.57
Geodesic Length,21.08,8.77,100.46,14.96,70.99
Geodesic Thickness,5.44,1.81,10.32,1.86,34.26
Image Height,35.68,25.00,138.00,18.68,52.36
Image Width,32.64,24.00,48.00,4.92,15.08
Intensity,159.83,117.75,185.54,14.86,9.30
Length,13.40,7.06,68.27,10.11,75.41
Perimeter,53.05,30.32,207.35,28.58,53.87
Roughness,1.31,1.06,1.82,0.20,15.37
Sigma Intensity,37.04,22.48,52.56,8.89,24.00
Sum Intensity,54192.57,23293.00,1.77e+005,29794.40,54.98
Transparency,0.19,0.08,0.62,0.11,60.88
Volume (ABD),433.88,65.29,2560.39,441.89,101.84
Width,8.22,4.18,13.53,2.24,27.28

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,6,10.71,0.90,402,0.06
7-8um,7,12.50,1.51,469,0.11
8-9um,11,19.64,3.56,738,0.25
0-5um,0,0.00,0.00,0.00,0.00
5-10um,28,50.00,7.58,1878,0.53
10-15um,23,41.07,19.81,1543,1.39
15-20um,2,3.57,3.61,134,0.25
20-25um,1,1.79,6.37,67,0.45
25-30um,0,0.00,0.00,0.00,0.00
30-35um,1,1.79,18.06,67,1.27
35-40um,0,0.00,0.00,0.00,0.00
40-45um,1,1.79,44.58,67,3.13
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,4,7.14,1.61,268,0.11
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

