List File,32CR2_R2_copy.lst
Start Time,2016-11-10  12:49:58
Sampling Time,49 sec

Count,462  of  462
Particles / ml,21896

Efficiency,8.5%
PPUI,2.64

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),44.62,19.81,154.69,19.12,42.86
Aspect Ratio,0.84,0.36,1.00,0.09,10.74
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.76,0.22,0.94,0.09,11.82
Circularity (Hu),0.93,0.22,1.00,0.06,6.54
Compactness,1.65,1.00,8.92,0.60,36.17
Diameter (ABD),7.39,5.02,14.03,1.48,20.03
Diameter (ESD),8.67,6.00,15.71,1.78,20.48
Elongation,2.75,1.00,25.98,2.01,73.16
Geodesic Aspect Ratio,0.50,0.04,1.00,0.27,54.14
Geodesic Length,14.04,6.36,42.16,5.54,39.43
Geodesic Thickness,5.87,1.62,10.46,1.49,25.40
Image Height,30.26,20.00,44.00,3.72,12.29
Image Width,29.56,23.00,46.00,3.57,12.08
Intensity,142.77,93.93,204.68,15.71,11.01
Length,9.80,6.35,18.15,2.07,21.14
Perimeter,39.82,25.44,87.56,9.76,24.52
Roughness,1.21,1.03,1.79,0.14,11.23
Sigma Intensity,37.59,3.23,52.27,7.89,20.98
Sum Intensity,36971.50,17392.00,1.02e+005,13640.17,36.89
Transparency,0.15,0.04,0.52,0.05,33.66
Volume (ABD),238.48,66.31,1447.32,166.68,69.89
Width,7.35,4.14,14.78,1.59,21.58

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,74,16.02,6.10,3507,0.52
7-8um,127,27.49,16.14,6019,1.37
8-9um,92,19.91,16.28,4360,1.38
0-5um,0,0.00,0.00,0.00,0.00
5-10um,370,80.09,57.68,17536,4.89
10-15um,89,19.26,39.01,4218,3.31
15-20um,3,0.65,3.32,142,0.28
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,76,16.45,19.07,3602,1.62
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

